id,genre
3310180,Drama
3310180,Family
3310180,Mystery
3310293,Drama
3310301,Crime
3310301,Drama
3310301,Thriller
3310302,Drama
3310302,Fantasy
3310302,Mystery
3310302,Sci-Fi
3310302,Thriller
3310340,Family
3310394,Drama
3310396,Drama
3310396,Musical
3310405,Thriller
3310412,Drama
3310413,Horror
3310456,Drama
3310457,Drama
3310457,War
3310483,Family
3310523,Comedy
3310523,Drama
3310523,Fantasy
3310523,Romance
3310531,Comedy
3310531,Horror
3310568,Drama
3310568,Family
3310571,Drama
3310571,Romance
3310607,Adventure
3310607,Family
3310620,Comedy
3310620,Drama
3310620,Romance
3310692,Comedy
3310692,Drama
3310706,Comedy
3310706,Family
3310737,Comedy
3310737,Drama
3310769,Comedy
3310769,Drama
3310769,History
3310773,Drama
3310881,Action
3310881,Thriller
3310881,War
3310928,Drama
3310928,Mystery
3310931,Comedy
3310931,Drama
3310938,Comedy
3310938,Drama
3310970,Drama
3310970,Family
3310970,Romance
3311064,Thriller
3311066,Drama
3311072,Drama
3311112,Drama
3311126,Drama
3311133,Drama
3311171,Drama
3311201,Drama
3311201,Romance
3311223,Comedy
3311223,Drama
3311231,Comedy
3311239,Drama
3311239,Family
3311243,Thriller
3311273,Music
3311273,Sci-Fi
3311413,Comedy
3311413,Drama
3311430,Family
3311591,Comedy
3311594,Action
3311594,Comedy
3311594,Sci-Fi
3311629,Adventure
3311629,Drama
3311629,Fantasy
3311675,Drama
3311718,Drama
3311785,Drama
3311821,Thriller
3311862,Drama
3311902,Crime
3311902,Drama
3311902,Romance
3311902,War
3311962,Drama
3312018,Mystery
3312020,Drama
3312035,Crime
3312035,Drama
3312035,Thriller
3312096,Romance
3312131,Drama
3312133,Drama
3312133,Horror
3312166,Crime
3312166,Drama
3312166,Thriller
3312181,Comedy
3312255,Comedy
3312255,Family
3312268,Family
3312276,Comedy
3312366,Comedy
3312366,Drama
3312366,Fantasy
3312366,Musical
3312366,Sci-Fi
3312367,Crime
3312367,Drama
3312367,Thriller
3312421,Action
3312421,Romance
3312487,Comedy
3312487,Drama
3312487,Romance
3312489,Comedy
3312493,Comedy
3312494,Comedy
3312503,Drama
3312530,Biography
3312530,Drama
3312530,History
3312530,Thriller
3312530,War
3312586,Drama
3312586,Romance
3312604,Drama
3312609,Drama
3312623,Comedy
3312623,Romance
3312623,Western
3312714,Drama
3312719,Family
3312767,Horror
3312767,Thriller
3312845,Drama
3312910,Romance
3312946,Comedy
3313025,Adventure
3313025,Biography
3313025,Comedy
3313025,Drama
3313028,Sci-Fi
3313070,Drama
3313070,Horror
3313070,Thriller
3313158,Drama
3313158,Sci-Fi
3313211,Adventure
3313211,Comedy
3313211,Sci-Fi
3313211,Thriller
3313235,Crime
3313235,Drama
3313235,Thriller
3313303,Comedy
3313303,Drama
3313360,Biography
3313360,Comedy
3313360,Drama
3313360,Music
3313360,Thriller
3313511,Action
3313511,Drama
3313516,Comedy
3313516,Drama
3313516,History
3313664,Comedy
3313668,Comedy
3313730,Drama
3313731,Drama
3313731,Romance
3313767,Drama
3313767,Thriller
3313795,Drama
3313829,Comedy
3313829,Music
3313829,Romance
3313958,Comedy
3313988,War
3313990,Comedy
3314037,Crime
3314037,Drama
3314037,Romance
3314038,Drama
3314038,Romance
3314150,Comedy
3314201,Adventure
3314201,Drama
3314205,Horror
3314205,Thriller
3314247,Thriller
3314338,Drama
3314338,Romance
3314362,Crime
3314362,Drama
3314362,Horror
3314362,Mystery
3314362,Thriller
3314373,Horror
3314409,Drama
3314423,Drama
3314489,Drama
3314489,Family
3314517,Horror
3314554,Comedy
3314554,Drama
3314554,Romance
3314569,Comedy
3314812,Drama
3314841,Drama
3314872,Drama
3315025,Drama
3315087,Crime
3315087,Drama
3315087,Family
3315109,Drama
3315140,Drama
3315140,Romance
3315151,Adventure
3315151,Mystery
3315151,Thriller
3315156,Drama
3315156,Mystery
3315161,Drama
3315161,Romance
3315197,Action
3315197,Horror
3315197,Mystery
3315197,Thriller
3315363,Drama
3315363,Romance
3315371,Drama
3315413,Drama
3315456,Drama
3315532,Drama
3315540,Drama
3315568,Drama
3315568,History
